,year,income
0,2015,37146.36871830397
1,2016,37974.83379352675
2,2017,38803.29886874952
3,2018,39631.763943972066
4,2019,40460.22901919484
5,2020,41288.69409441762
6,2021,42117.15916964039
7,2022,42945.624244862935
8,2023,43774.08932008571
9,2024,44602.554395308485
10,2025,45431.01947053103
11,2026,46259.4845457538
